xflr5 v6.39

Plane name :, NACA 0018-09
Polar name :, T1-351.6 m/s-VLM1-proj_area
Freestream speed :, 351.6 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.153901,   0.001221,   0.005552,   0.006773,   0.000000,   0.000000,   0.045524,   0.000000,   0.000000,  351.5900,    0.0390
   -1.500,     0.000,  -0.115528,   0.000688,   0.005487,   0.006176,   0.000000,   0.000000,   0.034091,   0.000000,   0.000000,  351.5900,    0.0389
   -1.000,     0.000,  -0.077135,   0.000307,   0.005445,   0.005752,   0.000000,   0.000000,   0.022647,   0.000000,   0.000000,  351.5900,    0.0387
   -0.500,     0.000,  -0.038727,   0.000077,   0.005418,   0.005495,   0.000000,   0.000000,   0.011196,   0.000000,   0.000000,  351.5900,    0.0381
    0.000,     0.000,  -0.000313,   0.000000,   0.005405,   0.005405,   0.000000,   0.000000,  -0.000258,   0.000000,  -0.000000,  351.5900,   -0.1100
    0.500,     0.000,   0.038102,   0.000075,   0.005419,   0.005494,   0.000000,  -0.000000,  -0.011712,   0.000000,   0.000000,  351.5900,    0.0405
    1.000,     0.000,   0.076509,   0.000302,   0.005446,   0.005747,   0.000000,  -0.000000,  -0.023163,   0.000000,  -0.000000,  351.5900,    0.0399
    1.500,     0.000,   0.114903,   0.000681,   0.005487,   0.006168,   0.000000,  -0.000000,  -0.034606,   0.000000,  -0.000000,  351.5900,    0.0397
    2.000,     0.000,   0.153276,   0.001211,   0.005551,   0.006763,   0.000000,  -0.000000,  -0.046038,   0.000000,  -0.000000,  351.5900,    0.0396
    2.500,     0.000,   0.191621,   0.001893,   0.005638,   0.007531,  -0.000000,  -0.000000,  -0.057455,   0.000000,   0.000000,  351.5900,    0.0396
    3.000,     0.000,   0.229932,   0.002726,   0.005746,   0.008471,   0.000000,  -0.000000,  -0.068854,   0.000000,   0.000000,  351.5900,    0.0395
    3.500,     0.000,   0.268202,   0.003708,   0.005878,   0.009586,  -0.000000,  -0.000000,  -0.080231,   0.000000,   0.000000,  351.5900,    0.0395
    4.000,     0.000,   0.306424,   0.004840,   0.006036,   0.010876,   0.000000,  -0.000000,  -0.091583,   0.000000,  -0.000000,  351.5900,    0.0395
    4.500,     0.000,   0.344590,   0.006121,   0.006212,   0.012332,  -0.000000,  -0.000000,  -0.102905,   0.000000,  -0.000000,  351.5900,    0.0395
    5.000,     0.000,   0.382695,   0.007549,   0.006392,   0.013941,   0.000000,  -0.000000,  -0.114194,   0.000000,  -0.000000,  351.5900,    0.0395
    5.500,     0.000,   0.420732,   0.009123,   0.006575,   0.015698,   0.000000,  -0.000000,  -0.125448,   0.000000,  -0.000000,  351.5900,    0.0395
    6.000,     0.000,   0.458693,   0.010843,   0.006757,   0.017600,   0.000000,  -0.000000,  -0.136663,   0.000000,   0.000000,  351.5900,    0.0395
    6.500,     0.000,   0.496572,   0.012706,   0.006945,   0.019651,   0.000000,  -0.000000,  -0.147834,   0.000000,   0.000000,  351.5900,    0.0395
    7.000,     0.000,   0.534363,   0.014712,   0.007135,   0.021847,   0.000000,  -0.000000,  -0.158960,   0.000000,  -0.000000,  351.5900,    0.0395
    7.500,     0.000,   0.572058,   0.016859,   0.007333,   0.024192,   0.000000,  -0.000000,  -0.170035,   0.000000,   0.000000,  351.5900,    0.0395
    8.000,     0.000,   0.609652,   0.019145,   0.007538,   0.026683,   0.000000,  -0.000000,  -0.181058,   0.000000,   0.000000,  351.5900,    0.0395
    8.500,     0.000,   0.647137,   0.021569,   0.007753,   0.029322,   0.000000,  -0.000000,  -0.192023,   0.000000,   0.000000,  351.5900,    0.0396
    9.000,     0.000,   0.684508,   0.024128,   0.007989,   0.032117,   0.000000,  -0.000000,  -0.202928,   0.000000,   0.000000,  351.5900,    0.0396
    9.500,     0.000,   0.721757,   0.026822,   0.008234,   0.035056,   0.000000,   0.000000,  -0.213769,   0.000000,   0.000000,  351.5900,    0.0396
   10.000,     0.000,   0.758879,   0.029647,   0.008506,   0.038152,   0.000000,  -0.000000,  -0.224542,   0.000000,  -0.000000,  351.5900,    0.0396
   10.500,     0.000,   0.795867,   0.032601,   0.008799,   0.041400,   0.000000,   0.000000,  -0.235244,   0.000000,  -0.000000,  351.5900,    0.0397
   11.000,     0.000,   0.832715,   0.035683,   0.009093,   0.044776,   0.000000,  -0.000000,  -0.245873,   0.000000,  -0.000000,  351.5900,    0.0397
   11.500,     0.000,   0.869416,   0.038889,   0.009424,   0.048314,   0.000000,  -0.000000,  -0.256423,  -0.000000,  -0.000000,  351.5900,    0.0397
   12.000,     0.000,   0.905966,   0.042219,   0.009764,   0.051982,   0.000000,  -0.000000,  -0.266892,  -0.000000,   0.000000,  351.5900,    0.0397
   12.500,     0.000,   0.942356,   0.045668,   0.010110,   0.055777,   0.000000,  -0.000000,  -0.277278,  -0.000000,   0.000000,  351.5900,    0.0398
   13.000,     0.000,   0.978583,   0.049234,   0.010489,   0.059723,   0.000000,  -0.000000,  -0.287575,  -0.000000,   0.000000,  351.5900,    0.0398
   13.500,     0.000,   1.014639,   0.052915,   0.010917,   0.063832,   0.000000,  -0.000000,  -0.297778,  -0.000000,   0.000000,  351.5900,    0.0398
   14.000,     0.000,   1.050519,   0.056707,   0.011342,   0.068050,   0.000000,  -0.000000,  -0.307889,  -0.000000,  -0.000000,  351.5900,    0.0399


